"method","auroc","delta_w","ari","k","exactC","seed","scenario","tmfg_avail","oracle_na","rho_C","rho_D","gini_C","gini_D","obar_C","obar_D","rt"
"cw",0.6,0.000150250516740343,0.533333333333333,2,FALSE,202608260001,"noC",0.3,0,0.072196571688756,0.146092117469916,0.201585851759684,0.16004019085721,0.00136712000764329,-0.0165329807617538,1.416
"gini",0.133333333333333,-0.0641987236458311,0.641025641025641,3,FALSE,202608260001,"noC",0.3,0,0.072196571688756,0.146092117469916,0.201585851759684,0.16004019085721,0.00136712000764329,-0.0165329807617538,1.416
"oracle",0,-0.826215229933076,NA,NA,NA,202608260001,"noC",0.3,0,0.072196571688756,0.146092117469916,0.201585851759684,0.16004019085721,0.00136712000764329,-0.0165329807617538,1.416
"over",0.6,0.000198837940408327,0.533333333333333,2,FALSE,202608260001,"noC",0.3,0,0.072196571688756,0.146092117469916,0.201585851759684,0.16004019085721,0.00136712000764329,-0.0165329807617538,1.416
"raw",0.15,-0.0738955457811598,0.641025641025641,3,FALSE,202608260001,"noC",0.3,0,0.072196571688756,0.146092117469916,0.201585851759684,0.16004019085721,0.00136712000764329,-0.0165329807617538,1.416
"cw",0.65,-0.000157605677612899,0.533333333333333,2,FALSE,202608260002,"noC",0.2,0,0.0457097767665394,0.159511149781661,0.179410604740665,0.16476702682719,0.00903727289054725,-0.00231422555925257,0.849
"gini",0.05,-0.0974261736335727,0.533333333333333,2,FALSE,202608260002,"noC",0.2,0,0.0457097767665394,0.159511149781661,0.179410604740665,0.16476702682719,0.00903727289054725,-0.00231422555925257,0.849
"oracle",0,-0.803282451402052,NA,NA,NA,202608260002,"noC",0.2,0,0.0457097767665394,0.159511149781661,0.179410604740665,0.16476702682719,0.00903727289054725,-0.00231422555925257,0.849
"over",0.65,-0.000189466388501967,0.533333333333333,2,FALSE,202608260002,"noC",0.2,0,0.0457097767665394,0.159511149781661,0.179410604740665,0.16476702682719,0.00903727289054725,-0.00231422555925257,0.849
"raw",0.0333333333333333,-0.113801373015122,0.533333333333333,2,FALSE,202608260002,"noC",0.2,0,0.0457097767665394,0.159511149781661,0.179410604740665,0.16476702682719,0.00903727289054725,-0.00231422555925257,0.849
"cw",0.141666666666667,-0.00140710535499464,0.498442367601246,3,FALSE,202608260003,"noC",0.2,0,0.0396688770031275,0.17386651747509,0.190239499364285,0.146244040596157,-0.000831929538335488,0.0102561133319497,0.811
"gini",0,-0.117128372648543,0.498442367601246,3,FALSE,202608260003,"noC",0.2,0,0.0396688770031275,0.17386651747509,0.190239499364285,0.146244040596157,-0.000831929538335488,0.0102561133319497,0.811
"oracle",0,-0.787174128192922,NA,NA,NA,202608260003,"noC",0.2,0,0.0396688770031275,0.17386651747509,0.190239499364285,0.146244040596157,-0.000831929538335488,0.0102561133319497,0.811
"over",0.141666666666667,-0.00164892204432549,0.498442367601246,3,FALSE,202608260003,"noC",0.2,0,0.0396688770031275,0.17386651747509,0.190239499364285,0.146244040596157,-0.000831929538335488,0.0102561133319497,0.811
"raw",0,-0.134197640471963,0.498442367601246,3,FALSE,202608260003,"noC",0.2,0,0.0396688770031275,0.17386651747509,0.190239499364285,0.146244040596157,-0.000831929538335488,0.0102561133319497,0.811
"cw",0.5,-0.000765542920563774,0.440771349862259,2,FALSE,202608260004,"noC",0.2,0,0.0379395075361346,0.157181714153358,0.207411450991369,0.167667325472605,-0.00974788875871369,-0.0148090301662161,0.844
"gini",0.0666666666666667,-0.0999000832974373,0.440771349862259,2,FALSE,202608260004,"noC",0.2,0,0.0379395075361346,0.157181714153358,0.207411450991369,0.167667325472605,-0.00974788875871369,-0.0148090301662161,0.844
"oracle",0,-0.750969187102276,NA,NA,NA,202608260004,"noC",0.2,0,0.0379395075361346,0.157181714153358,0.207411450991369,0.167667325472605,-0.00974788875871369,-0.0148090301662161,0.844
"over",0.5,-0.00099819142363902,0.440771349862259,2,FALSE,202608260004,"noC",0.2,0,0.0379395075361346,0.157181714153358,0.207411450991369,0.167667325472605,-0.00974788875871369,-0.0148090301662161,0.844
"raw",0.0666666666666667,-0.119242206617224,0.440771349862259,2,FALSE,202608260004,"noC",0.2,0,0.0379395075361346,0.157181714153358,0.207411450991369,0.167667325472605,-0.00974788875871369,-0.0148090301662161,0.844
"cw",0.4,-0.000908597615978008,0.440771349862259,2,FALSE,202608260005,"noC",0.1,0,0.0522982741644814,0.222179949996277,0.189684565110424,0.171163365011013,0.00722461593439,0.00604376753544984,0.84
"gini",0.0166666666666667,-0.143371936921713,0.440771349862259,2,FALSE,202608260005,"noC",0.1,0,0.0522982741644814,0.222179949996277,0.189684565110424,0.171163365011013,0.00722461593439,0.00604376753544984,0.84
"oracle",0,-0.816872871780188,NA,NA,NA,202608260005,"noC",0.1,0,0.0522982741644814,0.222179949996277,0.189684565110424,0.171163365011013,0.00722461593439,0.00604376753544984,0.84
"over",0.4,-0.00107875364687048,0.440771349862259,2,FALSE,202608260005,"noC",0.1,0,0.0522982741644814,0.222179949996277,0.189684565110424,0.171163365011013,0.00722461593439,0.00604376753544984,0.84
"raw",0,-0.169881675831796,0.440771349862259,2,FALSE,202608260005,"noC",0.1,0,0.0522982741644814,0.222179949996277,0.189684565110424,0.171163365011013,0.00722461593439,0.00604376753544984,0.84
"cw",0.358333333333333,-0.000434100871992096,0.392156862745098,2,FALSE,202608260006,"noC",0.1,0,0.059613956177659,0.184426549854222,0.160485293601334,0.157179016254099,0.0104624375160484,0.00746285548140148,0.766
"gini",0.0333333333333333,-0.108294649267053,0.392156862745098,2,FALSE,202608260006,"noC",0.1,0,0.059613956177659,0.184426549854222,0.160485293601334,0.157179016254099,0.0104624375160484,0.00746285548140148,0.766
"oracle",0,-0.743997717416209,NA,NA,NA,202608260006,"noC",0.1,0,0.059613956177659,0.184426549854222,0.160485293601334,0.157179016254099,0.0104624375160484,0.00746285548140148,0.766
"over",0.358333333333333,-0.000531486306436677,0.392156862745098,2,FALSE,202608260006,"noC",0.1,0,0.059613956177659,0.184426549854222,0.160485293601334,0.157179016254099,0.0104624375160484,0.00746285548140148,0.766
"raw",0.0166666666666667,-0.124812593676563,0.392156862745098,2,FALSE,202608260006,"noC",0.1,0,0.059613956177659,0.184426549854222,0.160485293601334,0.157179016254099,0.0104624375160484,0.00746285548140148,0.766
"cw",0.466666666666667,4.23717350605743e-05,0.392156862745098,2,FALSE,202608260007,"noC",0.1,0,0.0463551652921194,0.171689602376384,0.197856807702667,0.15049499561938,-0.00639084529758179,-0.00932862197988248,0.821
"gini",0,-0.108251956919215,0.392156862745098,2,FALSE,202608260007,"noC",0.1,0,0.0463551652921194,0.171689602376384,0.197856807702667,0.15049499561938,-0.00639084529758179,-0.00932862197988248,0.821
"oracle",0,-0.808284024972333,NA,NA,NA,202608260007,"noC",0.1,0,0.0463551652921194,0.171689602376384,0.197856807702667,0.15049499561938,-0.00639084529758179,-0.00932862197988248,0.821
"over",0.466666666666667,5.64121674537027e-05,0.392156862745098,2,FALSE,202608260007,"noC",0.1,0,0.0463551652921194,0.171689602376384,0.197856807702667,0.15049499561938,-0.00639084529758179,-0.00932862197988248,0.821
"raw",0,-0.125334437084265,0.392156862745098,2,FALSE,202608260007,"noC",0.1,0,0.0463551652921194,0.171689602376384,0.197856807702667,0.15049499561938,-0.00639084529758179,-0.00932862197988248,0.821
"cw",0.791666666666667,-0.000225584493379848,0.392156862745098,2,FALSE,202608260008,"noC",0,0,0.038302964296462,0.157632204357285,0.174850932853819,0.16737127924512,0.0150961749611185,-0.00623335266553485,1.382
"gini",0,-0.0990662495706307,0.392156862745098,2,FALSE,202608260008,"noC",0,0,0.038302964296462,0.157632204357285,0.174850932853819,0.16737127924512,0.0150961749611185,-0.00623335266553485,1.382
"oracle",0,-0.849987681933797,NA,NA,NA,202608260008,"noC",0,0,0.038302964296462,0.157632204357285,0.174850932853819,0.16737127924512,0.0150961749611185,-0.00623335266553485,1.382
"over",0.791666666666667,-0.000304065727476088,0.392156862745098,2,FALSE,202608260008,"noC",0,0,0.038302964296462,0.157632204357285,0.174850932853819,0.16737127924512,0.0150961749611185,-0.00623335266553485,1.382
"raw",0,-0.119329240060823,0.392156862745098,2,FALSE,202608260008,"noC",0,0,0.038302964296462,0.157632204357285,0.174850932853819,0.16737127924512,0.0150961749611185,-0.00623335266553485,1.382
"cw",0.45,-9.41765335120347e-05,0.498442367601246,3,FALSE,202608260009,"noC",0.3,0,0.0484748962363864,0.204946420098469,0.176330533784486,0.180893413120194,-0.00272211622293907,-0.0110292324669979,1.337
"gini",0.0333333333333333,-0.129884741552443,0.392156862745098,2,FALSE,202608260009,"noC",0.3,0,0.0484748962363864,0.204946420098469,0.176330533784486,0.180893413120194,-0.00272211622293907,-0.0110292324669979,1.337
"oracle",0,-0.78881747082436,NA,NA,NA,202608260009,"noC",0.3,0,0.0484748962363864,0.204946420098469,0.176330533784486,0.180893413120194,-0.00272211622293907,-0.0110292324669979,1.337
"over",0.45,-0.000116670388977765,0.498442367601246,3,FALSE,202608260009,"noC",0.3,0,0.0484748962363864,0.204946420098469,0.176330533784486,0.180893413120194,-0.00272211622293907,-0.0110292324669979,1.337
"raw",0.0333333333333333,-0.156471523862083,0.392156862745098,2,FALSE,202608260009,"noC",0.3,0,0.0484748962363864,0.204946420098469,0.176330533784486,0.180893413120194,-0.00272211622293907,-0.0110292324669979,1.337
"cw",0.233333333333333,-0.000971076923908898,0.313725490196078,2,FALSE,202608260010,"noC",0.1,0,0.0435781485746826,0.197823631975426,0.18399415195827,0.164807251984215,-0.00305486002833788,0.00295513373887585,0.821
"gini",0.0333333333333333,-0.130904356571734,0.313725490196078,2,FALSE,202608260010,"noC",0.1,0,0.0435781485746826,0.197823631975426,0.18399415195827,0.164807251984215,-0.00305486002833788,0.00295513373887585,0.821
"oracle",0,-0.804979536853125,NA,NA,NA,202608260010,"noC",0.1,0,0.0435781485746826,0.197823631975426,0.18399415195827,0.164807251984215,-0.00305486002833788,0.00295513373887585,0.821
"over",0.233333333333333,-0.00115090112460661,0.313725490196078,2,FALSE,202608260010,"noC",0.1,0,0.0435781485746826,0.197823631975426,0.18399415195827,0.164807251984215,-0.00305486002833788,0.00295513373887585,0.821
"raw",0.0333333333333333,-0.154245483400743,0.313725490196078,2,FALSE,202608260010,"noC",0.1,0,0.0435781485746826,0.197823631975426,0.18399415195827,0.164807251984215,-0.00305486002833788,0.00295513373887585,0.821
"cw",0.541666666666667,-0.000508160486365666,0.440771349862259,2,FALSE,202608260011,"noC",0.1,0,0.0518567325038937,0.14413989353084,0.209282960530745,0.164074941389347,-0.00640098666671076,-0.0236553972891851,0.892
"gini",0.0666666666666667,-0.077612043759569,0.440771349862259,2,FALSE,202608260011,"noC",0.1,0,0.0518567325038937,0.14413989353084,0.209282960530745,0.164074941389347,-0.00640098666671076,-0.0236553972891851,0.892
"oracle",0,-0.738276192382672,NA,NA,NA,202608260011,"noC",0.1,0,0.0518567325038937,0.14413989353084,0.209282960530745,0.164074941389347,-0.00640098666671076,-0.0236553972891851,0.892
"over",0.541666666666667,-0.000660561769672741,0.440771349862259,2,FALSE,202608260011,"noC",0.1,0,0.0518567325038937,0.14413989353084,0.209282960530745,0.164074941389347,-0.00640098666671076,-0.0236553972891851,0.892
"raw",0.0666666666666667,-0.0922831610269468,0.440771349862259,2,FALSE,202608260011,"noC",0.1,0,0.0518567325038937,0.14413989353084,0.209282960530745,0.164074941389347,-0.00640098666671076,-0.0236553972891851,0.892
"cw",0.45,-0.000997711618223569,0.392156862745098,2,FALSE,202608260012,"noC",0.1,0,0.0392188081564188,0.175600567740566,0.203364954416239,0.157506695391984,0.00705413268718135,0.0014738715467273,0.875
"gini",0,-0.119939928676323,0.392156862745098,2,FALSE,202608260012,"noC",0.1,0,0.0392188081564188,0.175600567740566,0.203364954416239,0.157506695391984,0.00705413268718135,0.0014738715467273,0.875
"oracle",0,-0.815325100736982,NA,NA,NA,202608260012,"noC",0.1,0,0.0392188081564188,0.175600567740566,0.203364954416239,0.157506695391984,0.00705413268718135,0.0014738715467273,0.875
"over",0.45,-0.00117887615739116,0.392156862745098,2,FALSE,202608260012,"noC",0.1,0,0.0392188081564188,0.175600567740566,0.203364954416239,0.157506695391984,0.00705413268718135,0.0014738715467273,0.875
"raw",0,-0.136381759584147,0.392156862745098,2,FALSE,202608260012,"noC",0.1,0,0.0392188081564188,0.175600567740566,0.203364954416239,0.157506695391984,0.00705413268718135,0.0014738715467273,0.875
"cw",0.625,6.7912554458755e-05,0.440771349862259,2,FALSE,202608260013,"noC",0.1,0,0.0472378949624601,0.165827090717707,0.188788359837814,0.161554320956515,0.00266416493401128,-0.0154746143076878,1.186
"gini",0.05,-0.100189424666207,0.440771349862259,2,FALSE,202608260013,"noC",0.1,0,0.0472378949624601,0.165827090717707,0.188788359837814,0.161554320956515,0.00266416493401128,-0.0154746143076878,1.186
"oracle",0,-0.761596978870884,NA,NA,NA,202608260013,"noC",0.1,0,0.0472378949624601,0.165827090717707,0.188788359837814,0.161554320956515,0.00266416493401128,-0.0154746143076878,1.186
"over",0.641666666666667,9.63521721889792e-05,0.440771349862259,2,FALSE,202608260013,"noC",0.1,0,0.0472378949624601,0.165827090717707,0.188788359837814,0.161554320956515,0.00266416493401128,-0.0154746143076878,1.186
"raw",0.05,-0.118589195755247,0.440771349862259,2,FALSE,202608260013,"noC",0.1,0,0.0472378949624601,0.165827090717707,0.188788359837814,0.161554320956515,0.00266416493401128,-0.0154746143076878,1.186
"cw",0.6,3.55497727568686e-05,0.392156862745098,2,FALSE,202608260014,"noC",0.2,0,0.0592667078397116,0.169413177534831,0.21447714564318,0.146337954075443,0.0225782886111788,0.000859918377187954,1.312
"gini",0,-0.0986664839309722,0.498442367601246,3,FALSE,202608260014,"noC",0.2,0,0.0592667078397116,0.169413177534831,0.21447714564318,0.146337954075443,0.0225782886111788,0.000859918377187954,1.312
"oracle",0,-0.756757851282791,NA,NA,NA,202608260014,"noC",0.2,0,0.0592667078397116,0.169413177534831,0.21447714564318,0.146337954075443,0.0225782886111788,0.000859918377187954,1.312
"over",0.633333333333333,0.000157639093729365,0.392156862745098,2,FALSE,202608260014,"noC",0.2,0,0.0592667078397116,0.169413177534831,0.21447714564318,0.146337954075443,0.0225782886111788,0.000859918377187954,1.312
"raw",0,-0.11014646969512,0.498442367601246,3,FALSE,202608260014,"noC",0.2,0,0.0592667078397116,0.169413177534831,0.21447714564318,0.146337954075443,0.0225782886111788,0.000859918377187954,1.312
"cw",0.25,-0.000774093885528173,0.416666666666667,3,FALSE,202608260015,"noC",0.1,0,0.0731065871171871,0.188855041942159,0.19331655803573,0.158045790031279,-0.0336912207831125,-0.00487053992266046,1.168
"gini",0.116666666666667,-0.100841027770237,0.392156862745098,2,FALSE,202608260015,"noC",0.1,0,0.0731065871171871,0.188855041942159,0.19331655803573,0.158045790031279,-0.0336912207831125,-0.00487053992266046,1.168
"oracle",0,-0.817843878177862,NA,NA,NA,202608260015,"noC",0.1,0,0.0731065871171871,0.188855041942159,0.19331655803573,0.158045790031279,-0.0336912207831125,-0.00487053992266046,1.168
"over",0.25,-0.000945393196125969,0.416666666666667,3,FALSE,202608260015,"noC",0.1,0,0.0731065871171871,0.188855041942159,0.19331655803573,0.158045790031279,-0.0336912207831125,-0.00487053992266046,1.168
"raw",0.116666666666667,-0.115748454824972,0.392156862745098,2,FALSE,202608260015,"noC",0.1,0,0.0731065871171871,0.188855041942159,0.19331655803573,0.158045790031279,-0.0336912207831125,-0.00487053992266046,1.168
"cw",0.583333333333333,-0.000374545588781518,0.392156862745098,2,FALSE,202608260016,"noC",0.1,0,0.0373161733569789,0.146939699482133,0.207894315538538,0.166139370696238,-0.00568568341439391,-0.022581832133254,0.835
"gini",0.166666666666667,-0.0939898315939186,0.392156862745098,2,FALSE,202608260016,"noC",0.1,0,0.0373161733569789,0.146939699482133,0.207894315538538,0.166139370696238,-0.00568568341439391,-0.022581832133254,0.835
"oracle",0,-0.810650693904772,NA,NA,NA,202608260016,"noC",0.1,0,0.0373161733569789,0.146939699482133,0.207894315538538,0.166139370696238,-0.00568568341439391,-0.022581832133254,0.835
"over",0.583333333333333,-0.000492203538713519,0.392156862745098,2,FALSE,202608260016,"noC",0.1,0,0.0373161733569789,0.146939699482133,0.207894315538538,0.166139370696238,-0.00568568341439391,-0.022581832133254,0.835
"raw",0.183333333333333,-0.109623526125155,0.392156862745098,2,FALSE,202608260016,"noC",0.1,0,0.0373161733569789,0.146939699482133,0.207894315538538,0.166139370696238,-0.00568568341439391,-0.022581832133254,0.835
"cw",0.233333333333333,-0.00141651520225749,0.533333333333333,2,FALSE,202608260017,"noC",0.3,0,0.0556936316276696,0.150485726892105,0.220249171161428,0.173679275259748,-0.00845373113192284,0.00666265970688391,0.787
"gini",0,-0.0801023183138376,0.533333333333333,2,FALSE,202608260017,"noC",0.3,0,0.0556936316276696,0.150485726892105,0.220249171161428,0.173679275259748,-0.00845373113192284,0.00666265970688391,0.787
"oracle",0,-0.823163700899328,NA,NA,NA,202608260017,"noC",0.3,0,0.0556936316276696,0.150485726892105,0.220249171161428,0.173679275259748,-0.00845373113192284,0.00666265970688391,0.787
"over",0.233333333333333,-0.00182635207568695,0.533333333333333,2,FALSE,202608260017,"noC",0.3,0,0.0556936316276696,0.150485726892105,0.220249171161428,0.173679275259748,-0.00845373113192284,0.00666265970688391,0.787
"raw",0,-0.0947920952644359,0.533333333333333,2,FALSE,202608260017,"noC",0.3,0,0.0556936316276696,0.150485726892105,0.220249171161428,0.173679275259748,-0.00845373113192284,0.00666265970688391,0.787
"cw",0.808333333333333,0.000303297413361221,0.641025641025641,3,FALSE,202608260018,"noC",0.4,0,0.073439292352888,0.184007546197106,0.201847844662865,0.168193607001132,0.0112817437565023,-0.0107586434501765,1.229
"gini",0.133333333333333,-0.0938413494929752,0.498442367601246,3,FALSE,202608260018,"noC",0.4,0,0.073439292352888,0.184007546197106,0.201847844662865,0.168193607001132,0.0112817437565023,-0.0107586434501765,1.229
"oracle",0,-0.769706850978945,NA,NA,NA,202608260018,"noC",0.4,0,0.073439292352888,0.184007546197106,0.201847844662865,0.168193607001132,0.0112817437565023,-0.0107586434501765,1.229
"over",0.808333333333333,0.000369234227817402,0.641025641025641,3,FALSE,202608260018,"noC",0.4,0,0.073439292352888,0.184007546197106,0.201847844662865,0.168193607001132,0.0112817437565023,-0.0107586434501765,1.229
"raw",0.133333333333333,-0.110568253844218,0.641025641025641,3,FALSE,202608260018,"noC",0.4,0,0.073439292352888,0.184007546197106,0.201847844662865,0.168193607001132,0.0112817437565023,-0.0107586434501765,1.229
"cw",0.65,-0.000278686024863168,0.524691358024691,4,FALSE,202608260019,"noC",0.2,0,0.0551618026903153,0.203454636623092,0.194003394525072,0.172908724353248,0.0170113717954289,-0.0124929670759935,0.831
"gini",0.0333333333333333,-0.125027359138639,0.55045871559633,3,FALSE,202608260019,"noC",0.2,0,0.0551618026903153,0.203454636623092,0.194003394525072,0.172908724353248,0.0170113717954289,-0.0124929670759935,0.831
"oracle",0,-0.807872068897925,NA,NA,NA,202608260019,"noC",0.2,0,0.0551618026903153,0.203454636623092,0.194003394525072,0.172908724353248,0.0170113717954289,-0.0124929670759935,0.831
"over",0.666666666666667,-0.000302884400289342,0.524691358024691,4,FALSE,202608260019,"noC",0.2,0,0.0551618026903153,0.203454636623092,0.194003394525072,0.172908724353248,0.0170113717954289,-0.0124929670759935,0.831
"raw",0.05,-0.148292833932777,0.55045871559633,3,FALSE,202608260019,"noC",0.2,0,0.0551618026903153,0.203454636623092,0.194003394525072,0.172908724353248,0.0170113717954289,-0.0124929670759935,0.831
"cw",0.2,-0.00290263381382194,0.524691358024691,4,FALSE,202608260020,"noC",0.2,0,0.0486727306318375,0.184414939208127,0.191382992659853,0.173414277514388,-0.00316442627341429,0.013608548644673,1.184
"gini",0.0333333333333333,-0.114435641904739,0.533333333333333,2,FALSE,202608260020,"noC",0.2,0,0.0486727306318375,0.184414939208127,0.191382992659853,0.173414277514388,-0.00316442627341429,0.013608548644673,1.184
"oracle",0,-0.793491146116251,NA,NA,NA,202608260020,"noC",0.2,0,0.0486727306318375,0.184414939208127,0.191382992659853,0.173414277514388,-0.00316442627341429,0.013608548644673,1.184
"over",0.2,-0.00359712897798252,0.524691358024691,4,FALSE,202608260020,"noC",0.2,0,0.0486727306318375,0.184414939208127,0.191382992659853,0.173414277514388,-0.00316442627341429,0.013608548644673,1.184
"raw",0.0166666666666667,-0.135742208576289,0.533333333333333,2,FALSE,202608260020,"noC",0.2,0,0.0486727306318375,0.184414939208127,0.191382992659853,0.173414277514388,-0.00316442627341429,0.013608548644673,1.184
"cw",0.416666666666667,-0.000849654122606709,0.517241379310345,3,FALSE,202608260021,"noC",0.3,0,0.0648798433693292,0.17910591699167,0.209768030884797,0.174546718990635,-0.00203674769817018,0.00123294715481781,0.886
"gini",0.15,-0.102426397760382,0.440771349862259,2,FALSE,202608260021,"noC",0.3,0,0.0648798433693292,0.17910591699167,0.209768030884797,0.174546718990635,-0.00203674769817018,0.00123294715481781,0.886
"oracle",0,-0.749637524601737,NA,NA,NA,202608260021,"noC",0.3,0,0.0648798433693292,0.17910591699167,0.209768030884797,0.174546718990635,-0.00203674769817018,0.00123294715481781,0.886
"over",0.416666666666667,-0.00103421186594742,0.517241379310345,3,FALSE,202608260021,"noC",0.3,0,0.0648798433693292,0.17910591699167,0.209768030884797,0.174546718990635,-0.00203674769817018,0.00123294715481781,0.886
"raw",0.133333333333333,-0.114226073622341,0.514851485148515,3,FALSE,202608260021,"noC",0.3,0,0.0648798433693292,0.17910591699167,0.209768030884797,0.174546718990635,-0.00203674769817018,0.00123294715481781,0.886
"cw",0.841666666666667,0.00022636347197051,0.392156862745098,2,FALSE,202608260022,"noC",0.1,0,0.0385715375972111,0.152173048328161,0.188181371126951,0.179101443133715,0.0134558544981692,-0.0270102813156606,1.155
"gini",0.133333333333333,-0.0940558678015704,0.392156862745098,2,FALSE,202608260022,"noC",0.1,0,0.0385715375972111,0.152173048328161,0.188181371126951,0.179101443133715,0.0134558544981692,-0.0270102813156606,1.155
"oracle",0,-0.725774319735401,NA,NA,NA,202608260022,"noC",0.1,0,0.0385715375972111,0.152173048328161,0.188181371126951,0.179101443133715,0.0134558544981692,-0.0270102813156606,1.155
"over",0.825,0.000271489316020478,0.392156862745098,2,FALSE,202608260022,"noC",0.1,0,0.0385715375972111,0.152173048328161,0.188181371126951,0.179101443133715,0.0134558544981692,-0.0270102813156606,1.155
"raw",0.133333333333333,-0.11360151073095,0.392156862745098,2,FALSE,202608260022,"noC",0.1,0,0.0385715375972111,0.152173048328161,0.188181371126951,0.179101443133715,0.0134558544981692,-0.0270102813156606,1.155
"cw",0.65,0.000101059388135399,0.498442367601246,3,FALSE,202608260023,"noC",0.3,0,0.080200181231846,0.210352822762037,0.190043230151696,0.176637182963739,0.0180156823236472,-0.0060384524133587,1.291
"gini",0.0166666666666667,-0.110422348805771,0.234666666666667,2,FALSE,202608260023,"noC",0.3,0,0.080200181231846,0.210352822762037,0.190043230151696,0.176637182963739,0.0180156823236472,-0.0060384524133587,1.291
"oracle",0,-0.769486974748112,NA,NA,NA,202608260023,"noC",0.3,0,0.080200181231846,0.210352822762037,0.190043230151696,0.176637182963739,0.0180156823236472,-0.0060384524133587,1.291
"over",0.65,0.000178694089236092,0.498442367601246,3,FALSE,202608260023,"noC",0.3,0,0.080200181231846,0.210352822762037,0.190043230151696,0.176637182963739,0.0180156823236472,-0.0060384524133587,1.291
