"i","j","rho","gini","o_bar","raw","gini","over","cw","oracle","seed"
1,2,0.205465788475863,0.166738352917881,0.110367283108872,0.205465788475863,0.171206761324424,0.0226767008459032,0.0188956250972458,0.20546578847584,202608260001
1,3,0.19561071271338,0.0979338060721096,0.078257687237245,0.19561071271338,0.176453811108881,0.0153080419757783,0.0138088671615787,0.195610712713604,202608260001
1,4,0.262125066300117,0.0792839953719973,0.0905579614828553,0.262125066300117,0.241342743756694,0.0237375116576969,0.0218555068932853,0.262125066300189,202608260001
1,5,0.1786941769072,0.161329440914641,0.116087362242867,0.1786941769072,0.14986554525206,0.0207441356453171,0.0173974958394006,0.178694176907109,202608260001
2,3,0.131088513052649,0.165341714155006,0.0834807191795504,0.131088513052649,0.109414113598493,0.010943363345813,0.00913396889159523,0.131088513052661,202608260001
2,4,0.26230038532679,0.17287489859341,0.0703822654199971,0.26230038532679,0.216955232812409,0.0184612953398377,0.0152698007800602,0.262300385326704,202608260001
2,5,0.324586113831708,0.237481773101693,0.105486860569939,0.324586113831708,0.247502827994766,0.0342395701327039,0.0261082963073496,0.324586113831615,202608260001
3,4,0.116189165380574,0.0723780002815062,0.0762342021493386,0.116189165380574,0.107779625935951,0.00885758832118565,0.00821649379118141,0.116189165379751,202608260001
3,5,0.217249204161712,0.15539398492817,0.0793926791915613,0.217249204161712,0.18348998460455,0.0172479963706328,0.0145677614825735,0.217249204162472,202608260001
4,5,0.241061108137582,0.165664424596939,0.0875308955325298,0.241061108137582,0.201125858365269,0.0211002946733466,0.0176047264974607,0.241061108137559,202608260001
6,7,0.139415887209023,0.201210710946743,0.101186867257945,0.139415887209023,0.111363917426424,0.014107056872668,0.0112685659299524,0.139415887209234,202608260001
6,8,0.278353155417603,0.274033013673546,0.0739304084097342,0.278353155417603,0.202075201372976,0.0205787624621616,0.0149395021669834,0.278353155417627,202608260001
6,9,0.267157982847151,0.172587862472666,0.089850122825092,0.267157982847151,0.221049757645052,0.0240041775725203,0.0198613478748647,0.267157982846935,202608260001
6,10,0.16032757788242,0.184986082351743,0.100222014089505,0.16032757788242,0.130669207357007,0.0160683527694681,0.0130959311407984,0.160327577882066,202608260001
7,8,0.222788714667489,0.183324998102549,0.106444650585815,0.222788714667489,0.181945973973802,0.0237146668872437,0.0193671756251372,0.222788714667505,202608260001
7,9,0.202566299343362,0.0818501900315816,0.0948939161500481,0.202566299343362,0.185986209248114,0.0192223094247145,0.0176489597454558,0.202566299343483,202608260001
7,10,0.229819319065022,0.0852045535091954,0.107490905805952,0.229819319065022,0.210237666596299,0.0247034867780064,0.0225986372169661,0.229819319065026,202608260001
8,9,0.240090131319491,0.159431066303819,0.0952863114829161,0.240090131319491,0.2018123056742,0.0228773030368833,0.0192299502195574,0.240090131319668,202608260001
8,10,0.32533981189485,0.173984027019519,0.0985517711538345,0.32533981189485,0.268735881271611,0.0320628146890928,0.0264843970719038,0.325339811894792,202608260001
9,10,0.240354032762322,0.0277794183470119,0.0998356279813168,0.240354032762322,0.233677137534826,0.0239958957986684,0.0233293037706659,0.240354032762365,202608260001
11,12,0.0308940696110839,0.186368767638758,0.0443926302037974,0.0308940696110839,0.0251363799303202,0.00137146900773522,0.00111587001890886,0.0911414054637496,202608260001
11,13,-0.0100038535323978,0.197884106056637,0.00638703167067558,0.0100038535323978,0.00802424991901769,6.38949293402242e-05,5.12511383661819e-05,0.065747851364065,202608260001
11,14,0.0709135968673968,0.158436087637783,-0.0193453338621464,0.0709135968673968,0.0596783240194035,0,0,0.0371475211195639,202608260001
11,15,0.0212210250181035,0.16238102018318,0.00253562334212507,0.0212210250181035,0.0177751333263311,5.38085263797235e-05,4.50710429716305e-05,0.00978338579833919,202608260001
12,13,0.0527630737220812,0.243271001218673,0.00495607867769241,0.0527630737220812,0.0399273479503359,0.000261497944643519,0.000197883077833465,0.0980563570809016,202608260001
12,14,-0.147931637290208,0.224742427538859,0.0225733239379166,0.147931637290208,0.114685122015809,0.00333930876921824,0.00258882441012234,0.0796782040349639,202608260001
12,15,0.168398228820576,0.199785831833772,-0.0230776675506442,0.168398228820576,0.134754648596323,0,0,0.172522131251276,202608260001
13,14,0.00499921418181055,0.226265729842721,-0.0272421280666081,0.00499921418181055,0.00386806333632311,0,0,0.044118759404371,202608260001
13,15,-0.0949476835726334,0.235028736781635,0.0123805459338292,0.0949476835726334,0.0726322494422149,0.00117550415778167,0.000899226900496681,0.298055875332384,202608260001
14,15,-0.119893334271268,0.181694808864826,-0.00988890421020456,0.119893334271268,0.0981093378166836,0,0,0.0302567596205392,202608260001
1,6,0.189000740084502,0.194160690931454,0.00444582995072741,0.189000740084502,0.152304225803139,0.000840265150977327,0.000677118688697947,0.964823206226808,202608260001
2,7,0.166921277505686,0.173081463253242,-0.0125035578172916,0.166921277505686,0.138030298546901,0,0,0.889247144450968,202608260001
3,8,0.0804933173729264,0.180512819659185,-0.0448977988312274,0.0804933173729264,0.0659632416902178,0,0,0.954345504221809,202608260001
4,9,0.0971055957096581,0.0486342835648679,-0.0491146573938508,0.0971055957096581,0.0923829346321792,0,0,0.821966289630075,202608260001
5,10,0.182203591495652,0.151949433932633,-0.0078596330244131,0.182203591495652,0.154517858907395,0,0,0.903932225500253,202608260001
6,11,0.16082818265107,0.211902453801878,0.0107319325455326,0.16082818265107,0.126748296106812,0.00172599720763187,0.00136025416407949,0.978881959850636,202608260001
1,2,0.317737517053423,0.190121449164896,0.152045856117558,0.317737517053423,0.25732879985717,0.0483106728010549,0.0391257776779873,0.317737517053466,202608260002
1,3,0.253096851457783,0.071244641961957,0.129624541418157,0.253096851457783,0.235065056893975,0.0328075633045946,0.0304702002033145,0.253096851457784,202608260002
1,4,0.305752550752108,0.0604052531887806,0.13244167497492,0.305752550752108,0.287283490510811,0.0404943799494632,0.0380483066758932,0.305752550752137,202608260002
1,5,0.326643655390198,0.166624962953554,0.120291412865517,0.326643655390198,0.272216668411793,0.0392924268104441,0.0327453276487986,0.326643655390058,202608260002
2,3,0.243633977545919,0.201535317113109,0.114290643159741,0.243633977545919,0.194533126621674,0.0278450839892888,0.0222333161574664,0.243633977546206,202608260002
2,4,0.336024568343829,0.22059884795131,0.132915754043228,0.336024568343829,0.261897935683844,0.0446629588784701,0.0348103616037829,0.336024568343916,202608260002
2,5,0.334081649163668,0.294450629998701,0.107748822356029,0.334081649163668,0.235711097096421,0.0359969042681453,0.025397593128387,0.33408164916362,202608260002
3,4,0.162352200023764,0.0758541252904403,0.119285654721569,0.162352200023764,0.150037115901983,0.0193662884753218,0.0178972756029039,0.16235220002344,202608260002
3,5,0.238994515552623,0.178413552425145,0.123313049458598,0.238994515552623,0.196354655022753,0.0294711425166742,0.0242130912862466,0.2389945155525,202608260002
4,5,0.225664923648571,0.193931300245831,0.114229322229762,0.225664923648571,0.181901431585528,0.0257775512794072,0.0207784772426382,0.225664923648584,202608260002
6,7,0.239305904530227,0.189477209814198,0.1106833471617,0.239305904530227,0.193962889447777,0.0264871785089637,0.0214684618292347,0.239305904530203,202608260002
6,8,0.185169965588661,0.24677067683001,0.113360754522604,0.185169965588661,0.139475447851757,0.0209910070140551,0.0158110420058533,0.185169965588778,202608260002
6,9,0.287337507393368,0.190722737663036,0.0995671178838458,0.287337507393368,0.232535711350032,0.0286093674710859,0.0231529105841926,0.287337507393212,202608260002
6,10,0.276823001786076,0.197763736045235,0.109185996033368,0.276823001786076,0.222077450729605,0.0302251951749596,0.0242477476544631,0.276823001786017,202608260002
7,8,0.274438294625205,0.134888745106306,0.115081707084883,0.274438294625205,0.237419657454096,0.0315828274349326,0.0273226594753255,0.274438294625242,202608260002
7,9,0.296650341999314,0.0908829435991694,0.125673935371187,0.296650341999314,0.269689885698716,0.0372812159082623,0.0338929892655633,0.296650341999211,202608260002
7,10,0.308755058194792,0.058624314324395,0.11895809140216,0.308755058194792,0.290654504613934,0.0367289124336152,0.0345757051263138,0.308755058194855,202608260002
8,9,0.207055507859715,0.14093444626547,0.116086545860211,0.207055507859715,0.177874254513291,0.0240363587087662,0.020648807803908,0.207055507859101,202608260002
8,10,0.358302505922901,0.145957381639976,0.115823669798445,0.358302505922901,0.306005610323353,0.0414999111339695,0.0354426927665636,0.358302505922984,202608260002
9,10,0.219520749565979,0.0711450822401554,0.127965921866891,0.219520749565979,0.203902927784687,0.0280911750871214,0.0260926261253255,0.219520749566362,202608260002
11,12,0.0217042907693311,0.134922235713804,0.00407034865982645,0.0217042907693311,0.0187758993341505,8.83440308454305e-05,7.64244566917958e-05,0.00572075145252728,202608260002
11,13,0.0135309909565298,0.157972712224519,0.017687854142046,0.0135309909565298,0.0113934636160413,0.000239334194436443,0.000201525922613248,0.0661994580158288,202608260002
11,14,-0.00892315769710668,0.186146582445335,0.00916463213466485,0.00892315769710668,0.00726214238716949,8.17774577735858e-05,6.65548634879652e-05,0.0216040872545933,202608260002
11,15,-0.053458704468717,0.139344112703095,-0.00255671713827303,0.053458704468717,0.0460095487282667,0,0,0.0224761160825706,202608260002
12,13,0.0307133776151842,0.185393927058994,0.0220881818506004,0.0307133776151842,0.0250193039258594,0.000678402670010347,0.000552630934889822,0.0484881411908202,202608260002
12,14,0.0311363368250028,0.209537700443535,0.0250593616717089,0.0311363368250028,0.0246121004064563,0.000780256725629893,0.000616763525585804,0.0613903860031335,202608260002
12,15,0.0456963846425598,0.160197640285664,-0.00108295917487793,0.0456963846425598,0.0383759316532357,0,0,0.0708427142763537,202608260002
13,14,0.119207027148386,0.213176663622811,0.00195815472508913,0.119207027148386,0.0937948708204989,0.00023342580347444,0.000183664869486285,0.217823776596189,202608260002
13,15,-0.0849470879080168,0.190787126359645,0.0211363421636731,0.0849470879080168,0.0687402771134261,0.00179547071583146,0.00145291801749508,0.189504687633698,202608260002
14,15,0.0477804096345606,0.216627346549244,-0.00715247012898542,0.0477804096345606,0.0374298662783899,0,0,0.00297270793005125,202608260002
1,6,0.163448355321995,0.18304782887744,0.0203334857740399,0.163448355321995,0.133529488746715,0.00332347480773,0.00271511995984616,0.731725091523928,202608260002
2,7,0.139910741635001,0.202948457496451,-0.0045375638214725,0.139910741635001,0.111516072432993,0,0,0.882241694302732,202608260002
3,8,0.226023229373414,0.138965770824976,-0.010876042920118,0.226023229373414,0.194613737079187,0,0,0.975158125357433,202608260002
4,9,0.184803446404741,0.0783309243589656,-0.00644665317306184,0.184803446404741,0.170327621623135,0,0,0.85293089187448,202608260002
5,10,0.18710015800965,0.182532670816498,-0.0150751057949314,0.18710015800965,0.15294826645796,0,0,0.932360051335142,202608260002
6,11,0.0557809679451681,0.202776508588812,0.00271652658002842,0.0557809679451681,0.0444698980195425,0.000151530482082763,0.000120803659981241,0.869492549880057,202608260002
1,2,0.19377135902386,0.152727579231288,0.131748229266109,0.19377135902386,0.164177128435789,0.0255290334338809,0.0216300459574097,0.193771359024051,202608260003
1,3,0.225156958938227,0.0806951248526229,0.118433952047826,0.225156958938227,0.20698789002527,0.0266662284781243,0.0245143938417335,0.225156958938211,202608260003
1,4,0.301998035902139,0.0745498177693866,0.103837263189633,0.301998035902139,0.279484137358922,0.0313586495367227,0.0290208679282659,0.3019980359022,202608260003
1,5,0.325513718615782,0.138227230269832,0.115289180726308,0.325513718615782,0.280518858876689,0.0375282099343876,0.0323407894181724,0.325513718615788,202608260003
2,3,0.268119716229931,0.139360583924799,0.10539488564115,0.268119716229931,0.230754396014376,0.0282584468301911,0.0243203331791278,0.268119716230034,202608260003
2,4,0.263054523940564,0.159540001507662,0.120384716772641,0.263054523940564,0.221086804794489,0.0316677443603467,0.0266154723773527,0.263054523940549,202608260003
2,5,0.293700627967565,0.211776046111708,0.119016206414771,0.293700627967565,0.231501870236069,0.0349551345623356,0.0275524743734215,0.293700627967657,202608260003
3,4,0.17165994048555,0.0565268899503446,0.129633425756906,0.17165994048555,0.16195653792084,0.0222528661503685,0.0209949808344069,0.171659940485575,202608260003
3,5,0.215970859658775,0.132211529287029,0.117031606890591,0.215970859658775,0.187417022021854,0.0252754167474087,0.0219337152458668,0.215970859656313,202608260003
4,5,0.183285214296928,0.149168970573332,0.123828604900182,0.183285214296928,0.155944747558943,0.0226959523852195,0.0193104205317349,0.18328521429685,202608260003
6,7,0.239600709354066,0.180533985195868,0.110865697615747,0.239600709354066,0.19634463843862,0.0265634997917663,0.0217678853136091,0.239600709354578,202608260003
6,8,0.268780337202173,0.265579126711296,0.0818726757804724,0.268780337202173,0.197397889970852,0.0220057654039195,0.0161614934453329,0.268780337202083,202608260003
6,9,0.188056820224833,0.188189062929377,0.0932435694451667,0.188056820224833,0.152666583449243,0.0175350891762714,0.0142351771758058,0.1880568202248,202608260003
6,10,0.284409708290456,0.193459510213261,0.100095006721616,0.284409708290456,0.229387945424688,0.0284679916630261,0.0229605879391419,0.284409708290458,202608260003
7,8,0.193006246536434,0.14796874248951,0.106632456851059,0.193006246536434,0.164447354943817,0.0205807302557812,0.0175354254803174,0.193006246536449,202608260003
7,9,0.229511971526067,0.0537930665078046,0.12398332474566,0.229511971526067,0.217165818777428,0.0284556572987331,0.0269249402331391,0.229511971526048,202608260003
7,10,0.319440104491748,0.0358881159002968,0.118671087795847,0.319440104491748,0.307976000998545,0.0379083046856549,0.0365478470535123,0.319440104491773,202608260003
8,9,0.238779076401897,0.153383363725628,0.116935562730134,0.238779076401897,0.202154338476075,0.0279217656672375,0.0236390313280379,0.238779076402939,202608260003
8,10,0.248603422287578,0.159475818129163,0.103864132552358,0.248603422287578,0.208957188128557,0.0258209788054468,0.0217031570855524,0.248603422287885,202608260003
9,10,0.309003688501253,0.048409391159929,0.114795592673598,0.309003688501253,0.294045008074735,0.035472261559829,0.0337550709746519,0.309003688501181,202608260003
11,12,-0.0137508193275376,0.158885517843121,0.00415529343924016,0.0137508193275376,0.0115660132779146,5.71386893358939e-05,4.80601790918832e-05,0.0219606331931178,202608260003
11,13,-0.0467098124849861,0.133205961502962,0.00371333376301109,0.0467098124849861,0.0404877870013005,0.000173449123764416,0.000150344666461531,0.147547708676605,202608260003
11,14,0.0226419748355279,0.148703343021044,-0.00116242275300098,0.0226419748355279,0.0192750374848866,0,0,0.0105624882263074,202608260003
11,15,0.00541347658705264,0.172388891660959,-0.0133720835114042,0.00541347658705264,0.00448025335817808,0,0,0.101501376424984,202608260003
