"method","auroc","delta_w","ari","k","exactC","seed","scenario","tmfg_avail","oracle_na","rho_C","rho_D","gini_C","gini_D","obar_C","obar_D","rt"
"cw",0.916666666666667,0.0122149075110466,1,3,TRUE,202608250001,"primary",0.9,0,0.166447117907091,0.17764058052417,0.157954117839912,0.158603017510217,0.106247581060996,0.0169824910814493,2.094
"gini",0.516666666666667,-0.0112740147808426,1,3,TRUE,202608250001,"primary",0.9,0,0.166447117907091,0.17764058052417,0.157954117839912,0.158603017510217,0.106247581060996,0.0169824910814493,2.094
"oracle",0,-0.40902001284291,NA,NA,NA,202608250001,"primary",0.9,0,0.166447117907091,0.17764058052417,0.157954117839912,0.158603017510217,0.106247581060996,0.0169824910814493,2.094
"over",0.9,0.0145758567188505,1,3,TRUE,202608250001,"primary",0.9,0,0.166447117907091,0.17764058052417,0.157954117839912,0.158603017510217,0.106247581060996,0.0169824910814493,2.094
"raw",0.5,-0.0111934626170791,1,3,TRUE,202608250001,"primary",0.9,0,0.166447117907091,0.17764058052417,0.157954117839912,0.158603017510217,0.106247581060996,0.0169824910814493,2.094
"cw",1,0.00929343033851384,0.792079207920792,3,FALSE,202608250002,"primary",0.6,0,0.138084680545178,0.179396125968197,0.175720340770665,0.167299829656056,0.0837828176000758,-0.0143679152555908,2.737
"gini",0.266666666666667,-0.0359705472471226,0.792079207920792,3,FALSE,202608250002,"primary",0.6,0,0.138084680545178,0.179396125968197,0.175720340770665,0.167299829656056,0.0837828176000758,-0.0143679152555908,2.737
"oracle",0,-0.425229856189014,NA,NA,NA,202608250002,"primary",0.6,0,0.138084680545178,0.179396125968197,0.175720340770665,0.167299829656056,0.0837828176000758,-0.0143679152555908,2.737
"over",1,0.0113321694844841,0.792079207920792,3,FALSE,202608250002,"primary",0.6,0,0.138084680545178,0.179396125968197,0.175720340770665,0.167299829656056,0.0837828176000758,-0.0143679152555908,2.737
"raw",0.266666666666667,-0.0413114454230191,0.792079207920792,3,FALSE,202608250002,"primary",0.6,0,0.138084680545178,0.179396125968197,0.175720340770665,0.167299829656056,0.0837828176000758,-0.0143679152555908,2.737
