"i","j","rho","gini","o_bar","raw","gini","over","cw","oracle","seed"
1,2,0.249264486548649,0.163460130838556,0.141366897710007,0.249264486548649,0.208519680964001,0.0352377471726602,0.0294777804093612,0.249264486548811,202608250001
1,3,0.313820126578555,0.136052975102191,0.167478225846915,0.313820126578555,0.271123964710597,0.0525580380344305,0.0454073605943122,0.313820126578522,202608250001
1,4,0.271308497782034,0.10459688940055,0.131539073061161,0.271308497782034,0.242930472846097,0.0356876683118647,0.0319548492164851,0.271308497781943,202608250001
1,5,0.288419558345596,0.154069444490349,0.154679763630745,0.288419558345596,0.243982917211138,0.0446126691113806,0.0377392199641584,0.288419558345505,202608250001
2,3,0.199062526658747,0.157044879551204,0.156788723335951,0.199062526658747,0.167800776136466,0.0312107594188537,0.0263092694652182,0.19906252665861,202608250001
2,4,0.286850433345635,0.16124177845305,0.120611876332017,0.286850433345635,0.240598159322957,0.0345975689924692,0.0290189954379714,0.286850433345605,202608250001
2,5,0.369008042343037,0.223560239429445,0.119009760089424,0.369008042343037,0.286512516045437,0.0439155585903129,0.0340977857971847,0.369008042343186,202608250001
3,4,0.281132223396076,0.077610258690979,0.136354750579692,0.281132223396076,0.259313478811936,0.0383337142010862,0.0353586247253539,0.281132223396187,202608250001
3,5,0.454922073035301,0.137054518793774,0.148440034821115,0.454922073035301,0.392572947226781,0.0675286483622537,0.058273541956171,0.454922073035302,202608250001
4,5,0.223021767186656,0.153084416014409,0.144636345810765,0.223021767186656,0.188880610198385,0.0322570534421371,0.027319001253602,0.223021767186755,202608250001
6,7,0.210245863150888,0.211689553629856,0.119092496775476,0.210245863150888,0.165739010227953,0.0250387047793543,0.0197382725411431,0.210245863152358,202608250001
6,8,0.271085783279657,0.283624344406401,0.0956891878862265,0.271085783279657,0.194199255719069,0.025939978449532,0.0185827690678673,0.271085783279585,202608250001
6,9,0.114160482109239,0.215223218574634,0.101435604277916,0.114160482109239,0.0895904957156569,0.0115799374874089,0.00908766607047566,0.114160482108373,202608250001
6,10,0.246358708195793,0.210685029192851,0.111152287083758,0.246358708195793,0.194454616567649,0.0273833338589625,0.0216140753654894,0.246358708195979,202608250001
7,8,0.254366371586753,0.153374536244858,0.139994837564124,0.254366371586753,0.215353047308348,0.0356099788720632,0.0301483148768713,0.254366371586488,202608250001
7,9,0.337461520902088,0.0875856656821481,0.119760972085422,0.337461520902088,0.307904728951769,0.040414719784659,0.0368749696489621,0.337461520902089,202608250001
7,10,0.295813209825995,0.0594214577127405,0.135959594049626,0.295813209825995,0.27823555768745,0.0402186439224591,0.0378287934733569,0.295813209825953,202608250001
8,9,0.243302930077178,0.153805078912478,0.122333323673654,0.243302930077178,0.205881703717021,0.0297640560958798,0.0251861930992976,0.24330293007714,202608250001
8,10,0.346985908038034,0.155416938452009,0.131578872480387,0.346985908038034,0.293058420524772,0.0456560145462278,0.0385602965435327,0.346985908038166,202608250001
9,10,0.275488901902237,0.0598473761578713,0.121420152631324,0.275488901902237,0.259001613962775,0.0334499045172054,0.0314480154991194,0.27548890190224,202608250001
