"method","auroc","delta_w","ari","k","exactC","seed","scenario","tmfg_avail","oracle_na","rho_C","rho_D","gini_C","gini_D","obar_C","obar_D","rt"
"cw",1,0.0136353070427019,1,3,TRUE,900000001,"primary",0.9,0,0.164609316218642,0.13651777879574,0.165921367088794,0.178085855338441,0.10019890717087,-0.0176022778088798,0.893
"gini",0.55,0.0228741535402385,1,3,TRUE,900000001,"primary",0.9,0,0.164609316218642,0.13651777879574,0.165921367088794,0.178085855338441,0.10019890717087,-0.0176022778088798,0.893
"oracle",0,-0.315892107072267,NA,NA,NA,900000001,"primary",0.9,0,0.164609316218642,0.13651777879574,0.165921367088794,0.178085855338441,0.10019890717087,-0.0176022778088798,0.893
"over",1,0.0163885784929585,1,3,TRUE,900000001,"primary",0.9,0,0.164609316218642,0.13651777879574,0.165921367088794,0.178085855338441,0.10019890717087,-0.0176022778088798,0.893
"raw",0.583333333333333,0.028091537422902,1,3,TRUE,900000001,"primary",0.9,0,0.164609316218642,0.13651777879574,0.165921367088794,0.178085855338441,0.10019890717087,-0.0176022778088798,0.893
"cw",1,0.0159495403218047,1,3,TRUE,900000002,"primary",0.9,0,0.173359136885266,0.166907005178293,0.160386865082458,0.162636866656516,0.106655756023002,-0.0146556735182371,1.094
"gini",0.583333333333333,0.00508415535617696,1,3,TRUE,900000002,"primary",0.9,0,0.173359136885266,0.166907005178293,0.160386865082458,0.162636866656516,0.106655756023002,-0.0146556735182371,1.094
"oracle",0,-0.372562006337223,NA,NA,NA,900000002,"primary",0.9,0,0.173359136885266,0.166907005178293,0.160386865082458,0.162636866656516,0.106655756023002,-0.0146556735182371,1.094
"over",1,0.0191307017899167,1,3,TRUE,900000002,"primary",0.9,0,0.173359136885266,0.166907005178293,0.160386865082458,0.162636866656516,0.106655756023002,-0.0146556735182371,1.094
"raw",0.6,0.00645213170697273,1,3,TRUE,900000002,"primary",0.9,0,0.173359136885266,0.166907005178293,0.160386865082458,0.162636866656516,0.106655756023002,-0.0146556735182371,1.094
"cw",1,0.012272814158248,1,3,TRUE,900000003,"primary",0.9,0,0.175531252909315,0.202712731259097,0.183056268725711,0.162321081099123,0.103663022693055,0.0135328144228813,0.991
"gini",0.316666666666667,-0.0247640369205036,1,3,TRUE,900000003,"primary",0.9,0,0.175531252909315,0.202712731259097,0.183056268725711,0.162321081099123,0.103663022693055,0.0135328144228813,0.991
"oracle",0,-0.356582424592093,NA,NA,NA,900000003,"primary",0.9,0,0.175531252909315,0.202712731259097,0.183056268725711,0.162321081099123,0.103663022693055,0.0135328144228813,0.991
"over",1,0.0149730587635458,1,3,TRUE,900000003,"primary",0.9,0,0.175531252909315,0.202712731259097,0.183056268725711,0.162321081099123,0.103663022693055,0.0135328144228813,0.991
"raw",0.333333333333333,-0.0271814783497818,1,3,TRUE,900000003,"primary",0.9,0,0.175531252909315,0.202712731259097,0.183056268725711,0.162321081099123,0.103663022693055,0.0135328144228813,0.991
"cw",1,0.0219482640205592,1,3,TRUE,900000004,"primary",0.9,0,0.211058761631162,0.15739461062306,0.171095355680675,0.175839923814837,0.126934809441119,-0.0188499477958019,1.089
"gini",0.766666666666667,0.0429073823477588,1,3,TRUE,900000004,"primary",0.9,0,0.211058761631162,0.15739461062306,0.171095355680675,0.175839923814837,0.126934809441119,-0.0188499477958019,1.089
"oracle",0,-0.220506432377175,NA,NA,NA,900000004,"primary",0.9,0,0.211058761631162,0.15739461062306,0.171095355680675,0.175839923814837,0.126934809441119,-0.0188499477958019,1.089
"over",1,0.0266111666061648,1,3,TRUE,900000004,"primary",0.9,0,0.211058761631162,0.15739461062306,0.171095355680675,0.175839923814837,0.126934809441119,-0.0188499477958019,1.089
"raw",0.766666666666667,0.0536641510081023,1,3,TRUE,900000004,"primary",0.9,0,0.211058761631162,0.15739461062306,0.171095355680675,0.175839923814837,0.126934809441119,-0.0188499477958019,1.089
"cw",1,0.0173015097481941,0.792079207920792,3,TRUE,900000005,"primary",0.9,0,0.198747464028201,0.211958974687353,0.173880632398335,0.172039090776035,0.118561586926424,0.0123153612585865,1.094
"gini",0.416666666666667,-0.0126674606358723,1,3,TRUE,900000005,"primary",0.9,0,0.198747464028201,0.211958974687353,0.173880632398335,0.172039090776035,0.118561586926424,0.0123153612585865,1.094
"oracle",0,-0.330610193617756,NA,NA,NA,900000005,"primary",0.9,0,0.198747464028201,0.211958974687353,0.173880632398335,0.172039090776035,0.118561586926424,0.0123153612585865,1.094
"over",1,0.0210530634572912,0.792079207920792,3,TRUE,900000005,"primary",0.9,0,0.198747464028201,0.211958974687353,0.173880632398335,0.172039090776035,0.118561586926424,0.0123153612585865,1.094
"raw",0.416666666666667,-0.0132115106591526,0.792079207920792,3,TRUE,900000005,"primary",0.9,0,0.198747464028201,0.211958974687353,0.173880632398335,0.172039090776035,0.118561586926424,0.0123153612585865,1.094
"cw",1,0.0183001714595079,1,3,TRUE,900000006,"primary",0.9,0,0.192226812354337,0.159265198270074,0.168058723660886,0.171496728174207,0.117871295579815,-0.00807759601827715,1.092
"gini",0.55,0.0253410494036799,1,3,TRUE,900000006,"primary",0.9,0,0.192226812354337,0.159265198270074,0.168058723660886,0.171496728174207,0.117871295579815,-0.00807759601827715,1.092
"oracle",0,-0.308969474213213,NA,NA,NA,900000006,"primary",0.9,0,0.192226812354337,0.159265198270074,0.168058723660886,0.171496728174207,0.117871295579815,-0.00807759601827715,1.092
"over",1,0.0219580719999248,1,3,TRUE,900000006,"primary",0.9,0,0.192226812354337,0.159265198270074,0.168058723660886,0.171496728174207,0.117871295579815,-0.00807759601827715,1.092
"raw",0.533333333333333,0.0329616140842633,1,3,TRUE,900000006,"primary",0.9,0,0.192226812354337,0.159265198270074,0.168058723660886,0.171496728174207,0.117871295579815,-0.00807759601827715,1.092
"cw",1,0.0140630584067236,1,3,TRUE,900000007,"primary",0.9,0,0.172417966877308,0.195495396613761,0.177731131315132,0.152039023727429,0.107654576979515,-0.000680868767103024,1.087
"gini",0.25,-0.0247680269329291,1,3,TRUE,900000007,"primary",0.9,0,0.172417966877308,0.195495396613761,0.177731131315132,0.152039023727429,0.107654576979515,-0.000680868767103024,1.087
"oracle",0,-0.361693670710157,NA,NA,NA,900000007,"primary",0.9,0,0.172417966877308,0.195495396613761,0.177731131315132,0.152039023727429,0.107654576979515,-0.000680868767103024,1.087
"over",1,0.0171715803070532,1,3,TRUE,900000007,"primary",0.9,0,0.172417966877308,0.195495396613761,0.177731131315132,0.152039023727429,0.107654576979515,-0.000680868767103024,1.087
"raw",0.35,-0.0230774297364527,1,3,TRUE,900000007,"primary",0.9,0,0.172417966877308,0.195495396613761,0.177731131315132,0.152039023727429,0.107654576979515,-0.000680868767103024,1.087
"cw",1,0.0171837810242739,1,3,TRUE,900000008,"primary",0.9,0,0.184025837481724,0.190627348466892,0.149974006310317,0.154210181260715,0.109511220561132,-0.0252433383503107,1.099
"gini",0.433333333333333,-0.00582371804968332,1,3,TRUE,900000008,"primary",0.9,0,0.184025837481724,0.190627348466892,0.149974006310317,0.154210181260715,0.109511220561132,-0.0252433383503107,1.099
"oracle",0,-0.272109140762859,NA,NA,NA,900000008,"primary",0.9,0,0.184025837481724,0.190627348466892,0.149974006310317,0.154210181260715,0.109511220561132,-0.0252433383503107,1.099
