"i","j","rho","gini","o_bar","raw","gini","over","cw","oracle","seed"
1,2,0.365893966458029,0.180953499999319,0.118486579611822,0.365893966458029,0.299684172598815,0.0433535245862147,0.0355085525750326,0.365893966458141,900000001
1,3,0.365912004618296,0.0998120830754416,0.122202175580297,0.365912004618296,0.329389565215033,0.0447152430353033,0.0402521214827251,0.36591200461831,900000001
1,4,0.142097557542483,0.0689116528118985,0.14851916164715,0.142097557542483,0.132305379991697,0.0211042101183172,0.0196498841177743,0.142097557543263,900000001
1,5,0.299158364130424,0.141804753815667,0.133073068348535,0.299158364130424,0.256736285953012,0.0398099214369639,0.0341646853281742,0.299158364130465,900000001
2,3,0.324803460324324,0.187965647527235,0.132549881833567,0.324803460324324,0.263751567585376,0.043052660285123,0.0349602391168598,0.324803460324364,900000001
2,4,0.272977180893478,0.203168868776454,0.11092562430337,0.272977180893478,0.217516715849564,0.0302801642111829,0.0241281775020316,0.272977180893499,900000001
2,5,0.276537776655974,0.255115281129349,0.137858762625693,0.276537776655974,0.2059887640215,0.0381231557090527,0.0283973561227998,0.276537776656052,900000001
3,4,0.254929702960392,0.0828168659246027,0.133144075076595,0.254929702960392,0.233817223930123,0.0339423795102125,0.0311313780171533,0.254929702960252,900000001
3,5,0.27510668030592,0.148880358293144,0.156250712909362,0.27510668030592,0.234148699173137,0.042985614923928,0.0365859011726025,0.275106680305937,900000001
4,5,0.301722081472936,0.162207790784733,0.122276135289766,0.301722081472936,0.25278040920624,0.0368934100540946,0.0309090115147047,0.301722081473048,900000001
6,7,0.255773721137723,0.221551035853079,0.0767389234811651,0.255773721137723,0.199106788275664,0.0196278000148806,0.0152792405900667,0.255773721137725,900000001
6,8,0.202005614982503,0.281107707567536,0.0738485567069262,0.202005614982503,0.145220279639001,0.0149178231131529,0.0107243080559165,0.202005614982512,900000001
6,9,0.229387886888557,0.23131249644796,0.0844710858453902,0.229387886888557,0.176327602117443,0.019376643885256,0.0148945840153743,0.229387886888594,900000001
6,10,0.254989406953338,0.233910382037696,0.071285888411571,0.254989406953338,0.195344737357317,0.0181771464102083,0.0139253231490413,0.254989406953119,900000001
7,8,0.252310556211391,0.143427970335346,0.0998952880600628,0.252310556211391,0.216122165239809,0.0252046356933316,0.0215895859527952,0.252310556211333,900000001
7,9,0.314529195501997,0.120381004733911,0.110668650834491,0.314529195501997,0.276665854929318,0.0348085217142637,0.0306182368969985,0.314529195502048,900000001
7,10,0.165524045452924,0.0748074651547366,0.114728201399125,0.165524045452924,0.153141611190434,0.018990276023121,0.0175696616112426,0.165524045453924,900000001
8,9,0.293263938487721,0.149075851291869,0.110777950657949,0.293263938487721,0.249545367204458,0.0324871781075487,0.0276441243750953,0.293263938487648,900000001
8,10,0.230073248534,0.154766721471632,0.116325527875088,0.230073248534,0.194465566160064,0.0267633920856539,0.0226213096370974,0.230073248534006,900000001
9,10,0.25436686410883,0.0967597298350136,0.118220782779177,0.25436686410883,0.22975439505868,0.0300714497880305,0.0271617444307935,0.254366864108944,900000001
11,12,0.154541203056264,0.17832875941287,0.0921620950053666,0.154541203056264,0.126982062037068,0.0142428410383151,0.0117029328654376,0.644609393515697,900000001
11,13,0.167739053448757,0.150445671943458,0.0685073265316147,0.167739053448757,0.142503438841499,0.011491354106718,0.00976252961659256,0.579459665390384,900000001
11,14,0.130947308112932,0.14213948513683,0.0965167234206582,0.130947308112932,0.112334525157706,0.0126386051198156,0.0108421602952373,0.444592095145281,900000001
11,15,0.192459538369961,0.121125419068904,0.0893729636279138,0.192459538369961,0.169147796131092,0.0172006793225836,0.0151172398313658,0.563987799566951,900000001
