"respondent","carrier","cross","S_E1","S_E2","S_E3"
"r1","","",0.2475,-0.13,-0.1375
"r2","","",-0.3025,-0.13,0.1125
"r3","","",-0.2025,0.07,0.1125
"r4","","",0.2475,0.07,0.1125
"r5","","cross",0.2475,0.07,0.4125
"r6","","",0.2475,0.07,-0.1375
"r7","","",-0.2025,0.07,0.1125
"r8","","",0.2475,0.07,0.1125
"r9","","",0.2475,0.07,-0.1375
"r10","","",0.2475,0.07,0.4125
"r11","","",0.2475,0.07,-0.1375
"r12","","cross",0.2475,0.07,0.4125
"r13","","cross",0.2475,0.07,0.4125
"r14","","",0.2475,0.07,-0.1375
"r15","minority","",0.2475,-0.28,0.1125
"r16","minority","",0.2475,0.52,0.1125
"r17","minority","",-0.2025,-0.13,0.1125
"r18","minority","",-0.3025,-0.13,0.1125
"r19","minority","",-0.2025,0.52,0.1125
"r20","minority","",0.2475,0.52,-0.3375
