== canonical triangle toy, n=12, deterministic (no seed) ==

2x2 tables identical across all 6 edge/scenario combinations:
   
    0 1
  0 6 2
  1 2 2

-- A --
   edge    rho   gini  o_bar w_star
1 e1_ij 0.3967 0.2879 0.6667 0.1883
2 e2_jk 0.3967 0.2879 0.6667 0.1883
3 e3_ik 0.3967 0.2879 0.6667 0.1883
 cosines: 0.6667 0.6667 0.6667 

-- B --
   edge    rho   gini   o_bar w_star
1 e1_ij 0.3967 0.2879 -0.3333      0
2 e2_jk 0.3967 0.2879 -0.3333      0
3 e3_ik 0.3967 0.2879 -0.3333      0
 cosines: -0.3333 -0.3333 -0.3333 

S entries are multiples of 1/9 (means are 1/3): S*9 =
A:
      [,1] [,2] [,3]
 [1,]    4    4    4
 [2,]    4    4    4
 [3,]   -2    1   -2
 [4,]   -2    1   -2
 [5,]   -2   -2    1
 [6,]   -2   -2    1
 [7,]    1   -2   -2
 [8,]    1   -2   -2
 [9,]    1    1    1
[10,]    1    1    1
[11,]    1    1    1
[12,]    1    1    1
B:
      [,1] [,2] [,3]
 [1,]    4   -2   -2
 [2,]    4   -2   -2
 [3,]   -2    4   -2
 [4,]   -2    4   -2
 [5,]   -2   -2    4
 [6,]   -2   -2    4
 [7,]    1    1    1
 [8,]    1    1    1
 [9,]    1    1    1
[10,]    1    1    1
[11,]    1    1    1
[12,]    1    1    1
